Reservoir,Scenario,GRP
ACL,Hypoxia,0.023082945
ACL,Hypoxia,0.02999972
ACL,Hypoxia,0.023533107
ACL,Hypoxia,0.030000147
ACL,Hypoxia,0.023915883
ACL,Hypoxia,0.02999727
ACL,Hypoxia,0.024241781
ACL,Hypoxia,0.029992274
ACL,Hypoxia,0.029986146
ACL,Hypoxia,0.02997944
ACL,Hypoxia,0.029972475
ACL,Hypoxia,0.030404336
ACL,Hypoxia,0.030518529
ACL,Hypoxia,0.020723418
ACL,Hypoxia,0.03056507
ACL,Hypoxia,0.020566982
ACL,Hypoxia,0.030453536
ACL,Hypoxia,0.021232598
ACL,Hypoxia,0.030306251
ACL,Hypoxia,0.022236559
ACL,Hypoxia,0.030197385
ACL,Hypoxia,0.022751687
ACL,Hypoxia,0.0300957
ACL,Hypoxia,0.02245529
ACL,Hypoxia,0.029996105
ACL,Hypoxia,0.021366176
ACL,Hypoxia,0.029943981
ACL,Hypoxia,0.020117014
ACL,Hypoxia,0.029944244
ACL,Hypoxia,0.019759065
ACL,Hypoxia,0.029958225
ACL,Hypoxia,0.020365707
ACL,Hypoxia,0.029973228
ACL,Hypoxia,0.021288295
ACL,Hypoxia,0.029977854
ACL,Hypoxia,0.022139796
ACL,Hypoxia,0.003177026
ACL,Hypoxia,0.029977962
ACL,Hypoxia,0.022830798
ACL,Hypoxia,0.029984141
ACL,Hypoxia,0.023378212
ACL,Hypoxia,0.029988043
ACL,Hypoxia,0.023817312
ACL,Hypoxia,0.029987521
ACL,Hypoxia,0.024177481
ACL,Hypoxia,0.029984236
ACL,Hypoxia,0.029979386
ACL,Hypoxia,0.030427955
ACL,Hypoxia,0.019682474
ACL,Hypoxia,0.030615384
ACL,Hypoxia,0.020295222
ACL,Hypoxia,0.03071637
ACL,Hypoxia,0.019725974
ACL,Hypoxia,0.030572351
ACL,Hypoxia,0.020790791
ACL,Hypoxia,0.030372896
ACL,Hypoxia,0.022388129
ACL,Hypoxia,0.030224754
ACL,Hypoxia,0.023203686
ACL,Hypoxia,0.030077917
ACL,Hypoxia,0.02275665
ACL,Hypoxia,0.029861625
ACL,Hypoxia,0.020676313
ACL,Hypoxia,0.029659089
ACL,Hypoxia,0.017973789
ACL,Hypoxia,0.029669036
ACL,Hypoxia,0.017640644
ACL,Hypoxia,0.029804719
ACL,Hypoxia,0.019143476
ACL,Hypoxia,0.004133345
ACL,Hypoxia,0.029899435
ACL,Hypoxia,0.020697538
ACL,Hypoxia,0.00357098
ACL,Hypoxia,0.029944793
ACL,Hypoxia,0.021862432
ACL,Hypoxia,0.029964049
ACL,Hypoxia,0.02269723
ACL,Hypoxia,0.02997393
ACL,Hypoxia,0.023311009
ACL,Hypoxia,0.029978289
ACL,Hypoxia,0.030390567
ACL,Hypoxia,0.018305916
ACL,Hypoxia,0.030387697
ACL,Hypoxia,0.0202876
ACL,Hypoxia,0.015635106
ACL,Hypoxia,0.030527727
ACL,Hypoxia,0.020898224
ACL,Hypoxia,0.01457583
ACL,Hypoxia,0.030611458
ACL,Hypoxia,0.020577659
ACL,Hypoxia,0.013276334
ACL,Hypoxia,0.030484095
ACL,Hypoxia,0.021561206
ACL,Hypoxia,0.030300167
ACL,Hypoxia,0.02319336
ACL,Hypoxia,0.010178939
ACL,Hypoxia,0.030205506
ACL,Hypoxia,0.024294738
ACL,Hypoxia,0.030107909
ACL,Hypoxia,0.024055374
ACL,Hypoxia,0.029786019
ACL,Hypoxia,0.021186562
ACL,Hypoxia,0.029424887
ACL,Hypoxia,0.016424806
ACL,Hypoxia,0.005251483
ACL,Hypoxia,0.02949949
