Reservoir,Scenario,GRP
ACL,Hypoxia,0.013143426
ACL,Hypoxia,0.023374596
ACL,Hypoxia,0.01360462
ACL,Hypoxia,0.023387386
ACL,Hypoxia,0.013989088
ACL,Hypoxia,0.023364275
ACL,Hypoxia,0.014317816
ACL,Hypoxia,0.02332467
ACL,Hypoxia,0.023280409
ACL,Hypoxia,0.023236204
ACL,Hypoxia,0.023193681
ACL,Hypoxia,0.022387642
ACL,Hypoxia,0.022398581
ACL,Hypoxia,0.012803855
ACL,Hypoxia,0.022257528
ACL,Hypoxia,0.012175514
ACL,Hypoxia,0.022005976
ACL,Hypoxia,0.012083081
ACL,Hypoxia,0.0220343
ACL,Hypoxia,0.012215294
ACL,Hypoxia,0.022316108
ACL,Hypoxia,0.012023072
ACL,Hypoxia,0.022448162
ACL,Hypoxia,0.011303019
ACL,Hypoxia,0.022378144
ACL,Hypoxia,0.010209028
ACL,Hypoxia,0.0223589
ACL,Hypoxia,0.009352335
ACL,Hypoxia,0.022544193
ACL,Hypoxia,0.009394897
ACL,Hypoxia,0.022844219
ACL,Hypoxia,0.010227056
ACL,Hypoxia,0.023126575
ACL,Hypoxia,0.011280121
ACL,Hypoxia,0.023281694
ACL,Hypoxia,0.012204595
ACL,Hypoxia,-0.00636901
ACL,Hypoxia,0.023305758
ACL,Hypoxia,0.012917252
ACL,Hypoxia,0.023306569
ACL,Hypoxia,0.013454196
ACL,Hypoxia,0.023299554
ACL,Hypoxia,0.01387514
ACL,Hypoxia,0.023280597
ACL,Hypoxia,0.014225152
ACL,Hypoxia,0.023253828
ACL,Hypoxia,0.023222722
ACL,Hypoxia,0.022473534
ACL,Hypoxia,0.012539605
ACL,Hypoxia,0.022624037
ACL,Hypoxia,0.012457453
ACL,Hypoxia,0.02266742
ACL,Hypoxia,0.011389912
ACL,Hypoxia,0.02254403
ACL,Hypoxia,0.011400522
ACL,Hypoxia,0.022469024
ACL,Hypoxia,0.011813188
ACL,Hypoxia,0.022433674
ACL,Hypoxia,0.011768628
ACL,Hypoxia,0.022242124
ACL,Hypoxia,0.010796658
ACL,Hypoxia,0.021795937
ACL,Hypoxia,0.008874094
ACL,Hypoxia,0.021563391
ACL,Hypoxia,0.007187063
ACL,Hypoxia,0.021924814
ACL,Hypoxia,0.007472234
ACL,Hypoxia,0.022478781
ACL,Hypoxia,0.009116417
ACL,Hypoxia,-0.006229415
ACL,Hypoxia,0.022903128
ACL,Hypoxia,0.010777897
ACL,Hypoxia,-0.006314294
ACL,Hypoxia,0.02314145
ACL,Hypoxia,0.012014226
ACL,Hypoxia,0.023222577
ACL,Hypoxia,0.012846083
ACL,Hypoxia,0.023227768
ACL,Hypoxia,0.013411853
ACL,Hypoxia,0.023216464
ACL,Hypoxia,0.022389821
ACL,Hypoxia,0.012020111
ACL,Hypoxia,0.022505413
ACL,Hypoxia,0.013108353
ACL,Hypoxia,-0.001840335
ACL,Hypoxia,0.022663557
ACL,Hypoxia,0.012906051
ACL,Hypoxia,-0.002735328
ACL,Hypoxia,0.022712894
ACL,Hypoxia,0.011740342
ACL,Hypoxia,-0.003579311
ACL,Hypoxia,0.02249223
ACL,Hypoxia,0.01131948
ACL,Hypoxia,0.022130736
ACL,Hypoxia,0.011568588
ACL,Hypoxia,-0.004883478
ACL,Hypoxia,0.021990079
ACL,Hypoxia,0.011876765
ACL,Hypoxia,0.02180636
ACL,Hypoxia,0.011036576
ACL,Hypoxia,0.020972816
ACL,Hypoxia,0.008310012
ACL,Hypoxia,0.020530517
ACL,Hypoxia,0.005533838
ACL,Hypoxia,-0.006046793
ACL,Hypoxia,0.021346875
ACL,Hypoxia,0.006220002
ACL,Hypoxia,-0.00617413
ACL,Hypoxia,0.022193615
ACL,Hypoxia,0.00865705
ACL,Hypoxia,-0.006271635
ACL,Hypoxia,0.022711439
ACL,Hypoxia,0.01075399
ACL,Hypoxia,-0.00634881
ACL,Hypoxia,0.022977829
ACL,Hypoxia,0.012145894
ACL,Hypoxia,-0.006412076
ACL,Hypoxia,0.023085805
ACL,Hypoxia,0.012977651
ACL,Hypoxia,-0.006465702
ACL,Hypoxia,0.023120024
ACL,Hypoxia,0.013492297
ACL,Hypoxia,0.023130457
ACL,Hypoxia,0.020721748
ACL,Hypoxia,0.021404066
ACL,Hypoxia,0.016761033
ACL,Hypoxia,0.021930186
ACL,Hypoxia,0.015566065
ACL,Hypoxia,0.022254611
ACL,Hypoxia,0.014915264
ACL,Hypoxia,0.000304088
ACL,Hypoxia,0.022437753
ACL,Hypoxia,0.014818481
ACL,Hypoxia,-0.000898853
ACL,Hypoxia,0.022549693
ACL,Hypoxia,0.014177413
ACL,Hypoxia,-0.002133579
ACL,Hypoxia,0.022385946
ACL,Hypoxia,0.012815825
ACL,Hypoxia,-0.00328014
ACL,Hypoxia,0.02125169
ACL,Hypoxia,0.011328208
ACL,Hypoxia,-0.004224319
ACL,Hypoxia,0.019420087
ACL,Hypoxia,0.010843009
ACL,Hypoxia,-0.00492873
ACL,Hypoxia,0.0204292
ACL,Hypoxia,0.011900931
ACL,Hypoxia,-0.005422352
ACL,Hypoxia,0.021499565
ACL,Hypoxia,0.012164569
ACL,Hypoxia,-0.005758216
ACL,Hypoxia,0.021068595
ACL,Hypoxia,0.009872724
ACL,Hypoxia,-0.005985801
ACL,Hypoxia,0.020658953
ACL,Hypoxia,0.007235603
ACL,Hypoxia,-0.006142333
ACL,Hypoxia,0.021395861
ACL,Hypoxia,0.007503258
ACL,Hypoxia,-0.006253287
ACL,Hypoxia,0.022173992
ACL,Hypoxia,0.009485045
ACL,Hypoxia,-0.006335334
ACL,Hypoxia,0.022670586
ACL,Hypoxia,0.011347112
ACL,Hypoxia,-0.006399121
ACL,Hypoxia,0.022941653
ACL,Hypoxia,0.012586554
ACL,Hypoxia,-0.006451334
ACL,Hypoxia,0.023047653
ACL,Hypoxia,0.013271646
ACL,Hypoxia,-0.00649611
ACL,Hypoxia,0.023069736
ACL,Hypoxia,0.020036994
ACL,Hypoxia,0.019667007
ACL,Hypoxia,0.019842476
ACL,Hypoxia,0.020551782
ACL,Hypoxia,0.018748515
ACL,Hypoxia,0.021246042
ACL,Hypoxia,0.018216603
ACL,Hypoxia,0.0045317
ACL,Hypoxia,0.021720273
ACL,Hypoxia,0.017788824
ACL,Hypoxia,0.00299461
ACL,Hypoxia,0.022039745
ACL,Hypoxia,0.017366657
ACL,Hypoxia,0.001508932
ACL,Hypoxia,0.022277833
ACL,Hypoxia,0.016802059
ACL,Hypoxia,4.13E-05
ACL,Hypoxia,0.022407258
ACL,Hypoxia,0.015900093
ACL,Hypoxia,-0.001559665
ACL,Hypoxia,0.022121942
ACL,Hypoxia,0.014222677
ACL,Hypoxia,-0.003089419
ACL,Hypoxia,0.019852807
ACL,Hypoxia,0.011524234
ACL,Hypoxia,-0.00429252
ACL,Hypoxia,0.0155718
ACL,Hypoxia,0.009969901
ACL,Hypoxia,-0.005114012
ACL,Hypoxia,0.018532298
ACL,Hypoxia,0.011578842
ACL,Hypoxia,-0.005634129
ACL,Hypoxia,0.021301959
ACL,Hypoxia,0.012953318
ACL,Hypoxia,-0.005954489
ACL,Hypoxia,0.021654568
ACL,Hypoxia,0.011927523
ACL,Hypoxia,-0.006152324
ACL,Hypoxia,0.021577384
ACL,Hypoxia,0.010327076
ACL,Hypoxia,-0.00627746
ACL,Hypoxia,0.021885968
ACL,Hypoxia,0.010089359
ACL,Hypoxia,-0.00636022
ACL,Hypoxia,0.02234067
ACL,Hypoxia,0.011038389
ACL,Hypoxia,-0.006418687
ACL,Hypoxia,0.022724274
ACL,Hypoxia,0.012226576
ACL,Hypoxia,-0.006463503
ACL,Hypoxia,0.022980782
ACL,Hypoxia,0.013107678
ACL,Hypoxia,-0.006500821
ACL,Hypoxia,0.02308199
ACL,Hypoxia,0.013592716
ACL,Hypoxia,0.023074737
ACL,Hypoxia,0.020809488
ACL,Hypoxia,0.020575021
ACL,Hypoxia,0.020271303
ACL,Hypoxia,0.020663593
ACL,Hypoxia,0.006359596
ACL,Hypoxia,0.020033035
ACL,Hypoxia,0.020249814
ACL,Hypoxia,0.008871171
ACL,Hypoxia,0.020209535
ACL,Hypoxia,0.019806399
ACL,Hypoxia,0.009579846
ACL,Hypoxia,0.020763448
ACL,Hypoxia,0.019388888
ACL,Hypoxia,0.008684684
ACL,Hypoxia,0.021270813
ACL,Hypoxia,0.019119903
ACL,Hypoxia,0.006489232
ACL,Hypoxia,0.02157306
ACL,Hypoxia,0.019072794
ACL,Hypoxia,0.003894096
ACL,Hypoxia,0.021814255
ACL,Hypoxia,0.018928096
ACL,Hypoxia,0.002254163
ACL,Hypoxia,0.022096705
ACL,Hypoxia,0.018443905
ACL,Hypoxia,0.00093182
ACL,Hypoxia,0.022311582
ACL,Hypoxia,0.017729099
ACL,Hypoxia,-0.001030054
ACL,Hypoxia,0.022265154
