Reservoir,Scenario,GRP
ACL,Hypoxia,0.00326799
ACL,Hypoxia,0.008748297
ACL,Hypoxia,0.003513762
ACL,Hypoxia,0.00879161
ACL,Hypoxia,0.003720046
ACL,Hypoxia,0.008815649
ACL,Hypoxia,0.003897015
ACL,Hypoxia,0.008828946
ACL,Hypoxia,0.008837218
ACL,Hypoxia,0.008842899
ACL,Hypoxia,0.008846982
ACL,Hypoxia,0.008940927
ACL,Hypoxia,0.008966418
ACL,Hypoxia,0.002950071
ACL,Hypoxia,0.008946454
ACL,Hypoxia,0.002635028
ACL,Hypoxia,0.008855392
ACL,Hypoxia,0.002643162
ACL,Hypoxia,0.008819901
ACL,Hypoxia,0.002790947
ACL,Hypoxia,0.008813204
ACL,Hypoxia,0.002756378
ACL,Hypoxia,0.008693335
ACL,Hypoxia,0.002418067
ACL,Hypoxia,0.008508067
ACL,Hypoxia,0.001840771
ACL,Hypoxia,0.008417944
ACL,Hypoxia,0.00134497
ACL,Hypoxia,0.008474313
ACL,Hypoxia,0.001321936
ACL,Hypoxia,0.008587693
ACL,Hypoxia,0.001736524
ACL,Hypoxia,0.008672546
ACL,Hypoxia,0.002280792
ACL,Hypoxia,0.008687494
ACL,Hypoxia,0.002764827
ACL,Hypoxia,-0.007198299
ACL,Hypoxia,0.008680562
ACL,Hypoxia,0.003142469
ACL,Hypoxia,0.008718811
ACL,Hypoxia,0.003430389
ACL,Hypoxia,0.008760817
ACL,Hypoxia,0.003657914
ACL,Hypoxia,0.008788123
ACL,Hypoxia,0.003847529
ACL,Hypoxia,0.008805678
ACL,Hypoxia,0.008817862
ACL,Hypoxia,0.008958897
ACL,Hypoxia,0.002768379
ACL,Hypoxia,0.009021408
ACL,Hypoxia,0.002755601
ACL,Hypoxia,0.009044767
ACL,Hypoxia,0.002205103
ACL,Hypoxia,0.008962133
ACL,Hypoxia,0.002299191
ACL,Hypoxia,0.008843125
ACL,Hypoxia,0.002632783
ACL,Hypoxia,0.008685251
ACL,Hypoxia,0.002697083
ACL,Hypoxia,0.008426314
ACL,Hypoxia,0.002241711
ACL,Hypoxia,0.008064221
ACL,Hypoxia,0.001215096
ACL,Hypoxia,0.007897115
ACL,Hypoxia,0.000211116
ACL,Hypoxia,0.008097292
ACL,Hypoxia,0.000287499
ACL,Hypoxia,0.008390897
ACL,Hypoxia,0.001136754
ACL,Hypoxia,-0.007044093
ACL,Hypoxia,0.00858343
ACL,Hypoxia,0.002003857
ACL,Hypoxia,-0.007136922
ACL,Hypoxia,0.008666758
ACL,Hypoxia,0.002652934
ACL,Hypoxia,0.008694888
ACL,Hypoxia,0.003095962
ACL,Hypoxia,0.008720989
ACL,Hypoxia,0.003402611
ACL,Hypoxia,0.008747528
